sweep,eq,N,rws,frm,met,iters,hard_1em6,rel_5p95,abs_1em2,dsilent_last5k,loss_slope_pct
std,h,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.09193848405767482
std,h,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6065434946301947
std,h,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.48879205902849476
std,h,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.25850086471851547
std,h,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.11552679557871029
std,h,1000,0.05,0,0,30000,0.401,0.634,0.555,8.300000000000002,-0.6094242475163857
std,h,1000,0.05,0,0,30000,0.393,0.62,0.566,8.900000000000002,-0.7235225786690789
std,h,1000,0.05,0,0,30000,0.411,0.635,0.575,7.699999999999996,-0.21084972701186372
std,h,1000,0.05,0,0,30000,0.397,0.645,0.588,8.700000000000003,-0.557195921461527
std,h,1000,0.05,0,0,30000,0.394,0.659,0.587,7.700000000000001,-0.44354815620997495
std,h,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.5118185279444889
std,h,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-1.1631256735664497
std,h,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.7333717632866854
std,h,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,0.06640629350281158
std,h,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.24992606951383642
std,h,1000,0,0,0,30000,0.445,0.598,0.559,6.2,-0.6163090717298768
std,h,1000,0,0,0,30000,0.407,0.569,0.545,4.499999999999998,-0.292163072097413
std,h,1000,0,0,0,30000,0.393,0.575,0.536,3.0000000000000027,-0.3394602426027238
std,h,1000,0,0,0,30000,0.427,0.572,0.543,4.499999999999998,-0.7125445180576852
std,h,1000,0,0,0,30000,0.449,0.614,0.576,3.7000000000000033,-0.6781415752373162
std,s,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-1.2204700706442324
std,s,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6848244099854333
std,s,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.8737763492882403
std,s,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6798260725138463
std,s,1000,0.05,0.2,0,30000,0.0,0.0,0.0,0.0,-0.38952305035707824
std,s,1000,0.05,0,0,30000,0.223,0.521,0.397,4.1000000000000005,24.717862584931503
std,s,1000,0.05,0,0,30000,0.25,0.55,0.419,5.299999999999999,71.3115411693855
std,s,1000,0.05,0,0,30000,0.226,0.522,0.424,4.400000000000001,56.81232685805982
std,s,1000,0.05,0,0,30000,0.201,0.53,0.411,5.600000000000002,26.68227025404411
std,s,1000,0.05,0,0,30000,0.224,0.534,0.422,6.3,-30.983682443760923
std,s,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.5737619302206689
std,s,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.3021950038380448
std,s,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.17566223809475312
std,s,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.1564659409513921
std,s,1000,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.5549652507623077
std,s,1000,0,0,0,30000,0.419,0.613,0.498,2.899999999999997,-0.5153247031069155
std,s,1000,0,0,0,30000,0.398,0.567,0.484,3.1000000000000028,-0.8606775611608463
std,s,1000,0,0,0,30000,0.393,0.602,0.478,3.0000000000000027,-0.5502637825765113
std,s,1000,0,0,0,30000,0.38,0.555,0.458,2.6000000000000023,-0.38435248073514017
std,s,1000,0,0,0,30000,0.41,0.616,0.505,3.1999999999999975,-0.6469321618838065
std_Nsweep,h,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.16418070147323105
std_Nsweep,h,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.4449884440259704
std_Nsweep,h,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.30051591267186983
std_Nsweep,h,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.5471173741382406
std_Nsweep,h,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.9209126304379929
std_Nsweep,h,100,0,0,0,30000,0.03,0.17,0.03,0.0,-0.5638450061790629
std_Nsweep,h,100,0,0,0,30000,0.04,0.1,0.04,0.0,-0.34879297017390615
std_Nsweep,h,100,0,0,0,30000,0.02,0.05,0.02,0.0,-0.8210887442814477
std_Nsweep,h,100,0,0,0,30000,0.01,0.12,0.01,0.0,-0.35611152441867117
std_Nsweep,h,100,0,0,0,30000,0.03,0.17,0.03,0.9999999999999999,0.0680713108008853
std_Nsweep,h,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.2992355173066333
std_Nsweep,h,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.2917706262275837
std_Nsweep,h,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6029525980010789
std_Nsweep,h,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.5028755693944479
std_Nsweep,h,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.26659895201897416
std_Nsweep,h,250,0,0,0,30000,0.096,0.256,0.132,0.8000000000000007,-0.4621854205911459
std_Nsweep,h,250,0,0,0,30000,0.072,0.376,0.104,1.1999999999999997,0.0460433768091004
std_Nsweep,h,250,0,0,0,30000,0.072,0.24,0.096,1.5999999999999994,-0.4700517439892219
std_Nsweep,h,250,0,0,0,30000,0.088,0.248,0.12,1.1999999999999997,-0.1246395405414079
std_Nsweep,h,250,0,0,0,30000,0.1,0.216,0.124,2.400000000000001,-0.21519096662792037
std_Nsweep,h,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6477981322954912
std_Nsweep,h,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.8466302748500047
std_Nsweep,h,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.903360267226778
std_Nsweep,h,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6025426317532021
std_Nsweep,h,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.17901117262866387
std_Nsweep,h,500,0,0,0,30000,0.206,0.39,0.326,2.3999999999999995,-0.6481531140749458
std_Nsweep,h,500,0,0,0,30000,0.238,0.41,0.33,4.399999999999999,-0.48948806372221987
std_Nsweep,h,500,0,0,0,30000,0.22,0.444,0.316,5.6,-0.29233965275961843
std_Nsweep,h,500,0,0,0,30000,0.216,0.4,0.32,2.8,-0.555580454555843
std_Nsweep,h,500,0,0,0,30000,0.218,0.388,0.312,4.000000000000001,-0.827970156808127
std_Nsweep,s,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.1530396496280711
std_Nsweep,s,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.3916517707026061
std_Nsweep,s,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.46856815610414565
std_Nsweep,s,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.2695459410284897
std_Nsweep,s,100,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.3217200652454552
std_Nsweep,s,100,0,0,0,30000,0.02,0.03,0.02,0.0,-0.5929983793926359
std_Nsweep,s,100,0,0,0,30000,0.02,0.08,0.02,0.0,-0.6222066304829785
std_Nsweep,s,100,0,0,0,30000,0.03,0.07,0.03,0.0,-0.33968738670189474
std_Nsweep,s,100,0,0,0,30000,0.02,0.1,0.02,1.0,-0.4720557329370665
std_Nsweep,s,100,0,0,0,30000,0.05,0.07,0.05,0.0,-0.5303890448593053
std_Nsweep,s,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.32830893091469915
std_Nsweep,s,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.6857829760402422
std_Nsweep,s,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,0.13506130372132746
std_Nsweep,s,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.4146586842162235
std_Nsweep,s,250,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.8374708523675063
std_Nsweep,s,250,0,0,0,30000,0.084,0.248,0.108,1.200000000000001,-0.5010638035116993
std_Nsweep,s,250,0,0,0,30000,0.06,0.224,0.096,0.0,-0.3462652477239291
std_Nsweep,s,250,0,0,0,30000,0.08,0.212,0.1,0.40000000000000036,-0.963906885206956
std_Nsweep,s,250,0,0,0,30000,0.076,0.2,0.084,0.0,-0.031097774043849145
std_Nsweep,s,250,0,0,0,30000,0.068,0.212,0.072,0.40000000000000036,-0.7669349783169491
std_Nsweep,s,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.497008548001563
std_Nsweep,s,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.3509300397013519
std_Nsweep,s,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.47512353124195594
std_Nsweep,s,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,0.021702317712842246
std_Nsweep,s,500,0,0.2,0,30000,0.0,0.0,0.0,0.0,-0.9831816747747885
std_Nsweep,s,500,0,0,0,30000,0.194,0.362,0.26,1.6000000000000014,-0.6023731579858141
std_Nsweep,s,500,0,0,0,30000,0.204,0.402,0.262,2.3999999999999995,-0.18104522596889894
std_Nsweep,s,500,0,0,0,30000,0.212,0.44,0.276,1.799999999999999,-0.24673653234503323
std_Nsweep,s,500,0,0,0,30000,0.18,0.418,0.244,1.799999999999999,-0.2696454267559098
std_Nsweep,s,500,0,0,0,30000,0.178,0.38,0.224,1.799999999999999,-0.5635182719180363
metabolic,h,1000,0,0,0.01,30000,0.447,0.604,0.579,6.0,-0.2510709179083922
metabolic,h,1000,0,0,0.01,30000,0.431,0.616,0.572,3.799999999999998,-0.902230811499059
metabolic,h,1000,0,0,0.01,30000,0.448,0.6,0.568,4.999999999999999,-0.5741890933527628
metabolic,h,1000,0,0,0.1,30000,0.4,0.568,0.546,4.400000000000004,-0.6895252133941735
metabolic,h,1000,0,0,0.1,30000,0.401,0.593,0.556,3.8000000000000034,-0.7392012694148545
metabolic,h,1000,0,0,0.1,30000,0.408,0.547,0.541,3.599999999999998,-0.6084101375825206
metabolic,h,1000,0,0,1.0,30000,0.414,0.563,0.62,2.799999999999997,-0.05296089567429125
metabolic,h,1000,0,0,1.0,30000,0.363,0.559,0.629,3.299999999999997,-0.4251532453434376
metabolic,h,1000,0,0,1.0,30000,0.393,0.583,0.638,2.6000000000000023,-0.34454097279925183
metabolic,h,1000,0,0,10.0,30000,0.436,0.62,0.832,3.599999999999998,-0.49010201890670285
metabolic,h,1000,0,0,10.0,30000,0.417,0.619,0.83,4.899999999999999,-0.3960727232957771
metabolic,h,1000,0,0,10.0,30000,0.444,0.62,0.832,3.0000000000000027,-0.4183075366890237
metabolic,h,100,0,0,0.01,30000,0.01,0.09,0.02,0.0,-0.09585457072845542
metabolic,h,100,0,0,0.01,30000,0.0,0.11,0.0,0.0,-0.21697261609471966
metabolic,h,100,0,0,0.01,30000,0.0,0.15,0.0,0.0,0.0024108576499745514
metabolic,h,100,0,0,0.1,30000,0.01,0.14,0.02,0.0,-0.5789803712828613
metabolic,h,100,0,0,0.1,30000,0.0,0.19,0.0,0.0,-0.558926947944765
metabolic,h,100,0,0,0.1,30000,0.0,0.18,0.01,0.0,-0.5997974335931531
metabolic,h,100,0,0,1.0,30000,0.04,0.29,0.09,1.0000000000000002,-0.4857233517396347
metabolic,h,100,0,0,1.0,30000,0.01,0.34,0.03,0.0,-0.5558033578578789
metabolic,h,100,0,0,1.0,30000,0.02,0.37,0.08,0.0,-0.4115412178513892
metabolic,h,100,0,0,10.0,30000,0.19,0.59,0.41,1.0000000000000009,-0.8662019300636444
metabolic,h,100,0,0,10.0,30000,0.16,0.57,0.37,7.000000000000001,2.788023397166753
metabolic,h,100,0,0,10.0,30000,0.25,0.61,0.45,-3.0000000000000027,-0.417685541805119
metabolic,h,500,0,0,0.01,30000,0.224,0.42,0.34,4.400000000000001,-0.16074510681171714
metabolic,h,500,0,0,0.01,30000,0.226,0.404,0.3,3.0,0.06203502565789907
metabolic,h,500,0,0,0.01,30000,0.236,0.406,0.312,5.3999999999999995,-0.8529435164183161
metabolic,h,500,0,0,0.1,30000,0.208,0.378,0.306,1.5999999999999988,-0.2974213323277495
metabolic,h,500,0,0,0.1,30000,0.218,0.414,0.32,1.4000000000000012,-0.6885272515844826
metabolic,h,500,0,0,0.1,30000,0.194,0.434,0.334,2.0000000000000018,-0.3834885379838381
metabolic,h,500,0,0,1.0,30000,0.222,0.494,0.464,3.4000000000000004,-0.43368100418104355
metabolic,h,500,0,0,1.0,30000,0.216,0.5,0.466,3.0,-0.17915774732326464
metabolic,h,500,0,0,1.0,30000,0.208,0.5,0.456,2.8,-0.46663798822902386
metabolic,h,500,0,0,10.0,30000,0.318,0.72,0.744,1.0000000000000009,-0.6477529847131848
metabolic,h,500,0,0,10.0,30000,0.32,0.63,0.722,1.4000000000000012,-0.4663477846810614
metabolic,h,500,0,0,10.0,30000,0.308,0.728,0.734,1.8000000000000016,-0.47010756166048046
largeN,h,10000,0,0,0,5000,0.4929,0.816,0.8474,44.91,-1.4020908237439553
largeN,h,10000,0,0,0,5000,0.4994,0.8231,0.8498,45.46,-0.8006825293942778
largeN,h,10000,0,0,0,5000,0.5083,0.8269,0.8508,46.209999999999994,-2.2232605396213883
largeN,h,1000,0,0,0,5000,0.074,0.42,0.321,2.5999999999999996,-1.3814027380913485
largeN,h,1000,0,0,0,5000,0.085,0.422,0.288,4.4,-2.5849007336345236
largeN,h,1000,0,0,0,5000,0.06,0.396,0.296,1.7000000000000002,-0.9987231203022192
largeN,h,2000,0,0,0,30000,0.5625,0.7195,0.721,2.749999999999997,-0.41444829429701857
largeN,h,2000,0,0,0,30000,0.5625,0.6975,0.7175,3.1499999999999972,-1.1304222213869326
largeN,h,2000,0,0,0,30000,0.5815,0.7185,0.723,3.3499999999999974,-0.2985484547852419
largeN,h,2000,0,0,0,5000,0.155,0.5535,0.504,11.45,-1.1899586161795834
largeN,h,2000,0,0,0,5000,0.1745,0.559,0.496,13.0,-1.585082172787823
largeN,h,2000,0,0,0,5000,0.1775,0.549,0.496,12.65,0.25039556184967743
largeN,h,5000,0,0,0,5000,0.342,0.72,0.7266,29.82,-1.4824800592197296
largeN,h,5000,0,0,0,5000,0.328,0.7176,0.7316,28.400000000000002,-2.5869788035592554
largeN,h,5000,0,0,0,5000,0.3288,0.719,0.7272,28.64,-1.5232393688792405
